"","parameter","round","mean","marginal_sd"
"1","Temperature_Shift",0,0.349401848265644,1.54556421668356
"2","CONST_Multiplier",0,1.44866245134938,0.965573610322286
"3","TEMPR_Multiplier",0,1.05840328973736,0.814432013950442
"4","WATEV_Multiplier",0,0.611012695831708,1.86569777185113
"5","Temperature_Shift",0,0.0842090828648107,1.48274596646853
"6","CONST_Multiplier",0,0.892996744258083,1.33062714394002
"7","TEMPR_Multiplier",0,0.872963511919083,1.40414940629088
"8","WATEV_Multiplier",0,0.444228294020182,1.61975960485862
